Benefit_ID,FMR_Code,Year_ID,Benefit_Title,Benefit_Title_HI,Benefit_Description,Benefit_Description_HI,Benefit_Type,Amount,Who_Is_Eligible,Where_To_Avail,Documents_Required,Helpline,Display_Order,Status
BEN011,RCH.5,,Weekly iron and folic acid tablets for adolescents,किशोर-किशोरियों हेतु साप्ताहिक आयरन की गोली,"Free weekly iron and folic acid tablets to prevent and treat anaemia, distributed in schools and through Anganwadi centres, with deworming twice a year.","एनीमिया की रोकथाम हेतु नि:शुल्क साप्ताहिक आयरन एवं फोलिक एसिड की गोलियां, तथा वर्ष में दो बार कृमि नाशक दवा।",Free Medicine,Free,"All adolescents 10-19 years, in school and out of school",Government schools and Anganwadi centres,None,104,1,Active
BEN012,RCH.5,,Adolescent Friendly Health Clinic — free confidential counselling,किशोर स्वास्थ्य क्लिनिक — नि:शुल्क एवं गोपनीय परामर्श,"Free, confidential counselling and treatment for adolescents on nutrition, menstrual health, mental health, substance use and reproductive health. No parent or referral needed.","किशोरों हेतु पोषण, मासिक धर्म, मानसिक स्वास्थ्य, नशा एवं प्रजनन स्वास्थ्य पर नि:शुल्क एवं गोपनीय परामर्श। किसी रेफरल की आवश्यकता नहीं।",Awareness / Counselling,Free,Adolescents 10-19 years,"AFHC at Sadar Hospital, Sheikhpura and designated CHCs",None,104,2,Active
BEN013,RCH.6,,Free contraceptives and family planning counselling,नि:शुल्क गर्भनिरोधक एवं परिवार नियोजन परामर्श,"Free condoms, oral contraceptive pills, emergency contraceptive pills, IUCD and PPIUCD insertion, and the Antara injectable contraceptive — with counselling to choose what suits you.","नि:शुल्क कंडोम, गर्भनिरोधक गोलियां, आपातकालीन गोली, कॉपर-टी एवं अंतरा इंजेक्शन, उपयुक्त साधन चुनने हेतु परामर्श सहित।",Free Medicine,Free,All eligible couples,"Any government health facility in Sheikhpura — Sadar Hospital, CHC, PHC, APHC or Ayushman Arogya Mandir; also available from your ASHA",None,104,1,Active
BEN014,RCH.6,,Sterilisation with compensation for wage loss,नसबंदी एवं मजदूरी क्षतिपूर्ति,"Free male (no-scalpel vasectomy) and female sterilisation with compensation for wage loss and free follow-up care. Male sterilisation is simpler, safer and quicker than female sterilisation.","नि:शुल्क पुरुष (बिना चीरा) एवं महिला नसबंदी, मजदूरी क्षतिपूर्ति तथा नि:शुल्क फॉलो-अप सहित। पुरुष नसबंदी अधिक सरल एवं सुरक्षित है।",Cash Benefit,Compensation as per current state rate (VERIFY),Eligible couples who have completed their family,"Fixed-day services at Sadar Hospital, Sheikhpura and CHCs","Aadhaar, bank passbook",104,2,Active
BEN015,RCH.7,,Anaemia Mukt Bharat — free haemoglobin testing and iron supplements,एनीमिया मुक्त भारत — नि:शुल्क हीमोग्लोबिन जांच एवं आयरन,"Free haemoglobin testing and iron-folic acid supplementation for children, adolescents, pregnant and lactating women, with treatment for those found anaemic.","बच्चों, किशोरों तथा गर्भवती एवं धात्री महिलाओं हेतु नि:शुल्क हीमोग्लोबिन जांच, आयरन की गोलियां एवं एनीमिया का उपचार।",Free Medicine,Free,"Children, adolescents, pregnant and lactating women","Nearest Ayushman Arogya Mandir (Health Sub-Centre) or APHC, Anganwadi centres and schools",None,104,1,Active
BEN016,NDCP.2,,"Free Kala-azar diagnosis, treatment and wage compensation","कालाजार की नि:शुल्क जांच, उपचार एवं मजदूरी क्षतिपूर्ति","Free rapid diagnostic test and single-dose treatment for Kala-azar, plus cash compensation for wage loss during treatment. Bihar carries the highest Kala-azar burden in India, and Sheikhpura is an endemic district.","कालाजार की नि:शुल्क जांच एवं उपचार, साथ ही उपचार अवधि की मजदूरी क्षतिपूर्ति। बिहार में कालाजार सर्वाधिक है एवं शेखपुरा प्रभावित जिला है।",Free Service,Free treatment plus wage compensation (VERIFY current rate),Anyone with fever lasting more than two weeks with an enlarged spleen,"Any government health facility in Sheikhpura — Sadar Hospital, CHC, PHC, APHC or Ayushman Arogya Mandir",Aadhaar and bank passbook for the compensation,104,1,Active
BEN017,NDCP.2,,Free malaria and dengue testing and treatment,मलेरिया एवं डेंगू की नि:शुल्क जांच एवं उपचार,"Free blood test and full treatment for malaria and dengue at all government facilities, plus free insecticide-treated bed nets in high-risk areas and free indoor spraying.","सभी सरकारी अस्पतालों में मलेरिया एवं डेंगू की नि:शुल्क जांच एवं पूर्ण उपचार, नि:शुल्क मच्छरदानी एवं छिड़काव सहित।",Free Service,Free,Anyone with fever,"Any government health facility in Sheikhpura — Sadar Hospital, CHC, PHC, APHC or Ayushman Arogya Mandir; your ASHA can also test for malaria",None,104,2,Active
BEN018,NDCP.3,,Free leprosy diagnosis and Multi-Drug Therapy,कुष्ठ रोग की नि:शुल्क जांच एवं बहुऔषधि उपचार,"Free diagnosis and the complete Multi-Drug Therapy course, which cures leprosy. Free reconstructive surgery and MCR footwear where disability has occurred. Leprosy is curable and is not hereditary.","कुष्ठ रोग की नि:शुल्क जांच एवं पूर्ण उपचार, जिससे रोग ठीक हो जाता है। दिव्यांगता की स्थिति में नि:शुल्क शल्य चिकित्सा एवं एमसीआर चप्पल। कुष्ठ रोग पूर्णत: ठीक होने वाला रोग है।",Free Medicine,Free,Anyone with a pale or reddish skin patch that has lost sensation,"Any government health facility in Sheikhpura — Sadar Hospital, CHC, PHC, APHC or Ayushman Arogya Mandir",None,104,1,Active
BEN019,NDCP.4,,Free TB diagnosis and complete treatment,टीबी की नि:शुल्क जांच एवं पूर्ण उपचार,"Free sputum test, chest X-ray, CBNAAT molecular testing and the full course of anti-TB medicines — including for drug-resistant TB, whose treatment would otherwise cost lakhs of rupees.","नि:शुल्क बलगम जांच, एक्स-रे, सीबीनाट जांच एवं टीबी की पूरी दवा — दवा प्रतिरोधी टीबी सहित, जिसका निजी इलाज लाखों में होता है।",Free Service,Free,"Anyone coughing for two weeks or more, with fever, weight loss or night sweats","Any government health facility in Sheikhpura — Sadar Hospital, CHC, PHC, APHC or Ayushman Arogya Mandir — TB units at Sadar Hospital and all CHCs",None,104,1,Active
BEN020,NDCP.4,,Ni-kshay Poshan Yojana — monthly nutrition money for TB patients,नि-क्षय पोषण योजना — टीबी मरीजों हेतु मासिक पोषण राशि,"Direct cash transfer into the patient's bank account every month for the full duration of TB treatment, to support the nutrition needed to recover.",टीबी उपचार की पूरी अवधि तक प्रति माह मरीज के बैंक खाते में सीधे पोषण राशि।,Cash Benefit,"Monthly, for the full treatment duration (VERIFY current rate)","Every notified TB patient, whether treated in the public or private sector",Automatic on Ni-kshay notification — ask at your TB unit,"Aadhaar, bank account details",104,2,Active
BEN021,NDCP.5,,Free hepatitis B and C testing and treatment,हेपेटाइटिस बी एवं सी की नि:शुल्क जांच एवं उपचार,"Free screening, confirmatory testing and complete treatment for viral hepatitis B and C. A full hepatitis C cure costs lakhs privately and is provided here free.",वायरल हेपेटाइटिस बी एवं सी की नि:शुल्क जांच एवं पूर्ण उपचार। निजी इलाज में लाखों का खर्च आता है।,Free Service,Free,Anyone at risk or with symptoms; all pregnant women are screened routinely,"Treatment centre at Sadar Hospital, Sheikhpura",Aadhaar,104,1,Active
BEN022,NDCP.6,,Free anti-rabies vaccine after an animal bite,पशु काटने पर नि:शुल्क रेबीज रोधी टीका,"Free anti-rabies vaccination, and free rabies immunoglobulin for severe bites. Rabies is always fatal once symptoms begin, but completely preventable with prompt vaccination — wash the wound with soap and water and go the same day.","पशु काटने पर नि:शुल्क रेबीज रोधी टीका। लक्षण आने के बाद रेबीज लाइलाज है, परंतु समय पर टीका लगवाने से पूर्ण बचाव संभव है। घाव को साबुन-पानी से धोकर उसी दिन अस्पताल जाएं।",Free Service,Free,"Anyone bitten or scratched by a dog, cat, monkey or other animal","Sadar Hospital, Sheikhpura and all CHCs — go the same day",None,104,1,Active
BEN023,NCD.1,,Free cataract surgery with lens implant,नि:शुल्क मोतियाबिंद ऑपरेशन एवं लेंस प्रत्यारोपण,"Free cataract operation with an intraocular lens that restores sight, including free pre-operative tests, the lens itself, medicines and follow-up visits.","नि:शुल्क मोतियाबिंद ऑपरेशन एवं लेंस प्रत्यारोपण, जिससे दृष्टि वापस आती है — जांच, लेंस, दवा एवं फॉलो-अप सहित।",Free Service,Free,"Anyone with cataract, most commonly people above 50","Sadar Hospital, Sheikhpura and designated CHCs; screening camps are held in villages",Aadhaar,104,1,Active
BEN024,NCD.1,,Free eye screening and spectacles for school children,स्कूली बच्चों की नि:शुल्क आंख जांच एवं चश्मा,"Free vision screening in schools and free spectacles for children found to have refractive error, so that poor eyesight never becomes a barrier to education.","विद्यालयों में नि:शुल्क दृष्टि परीक्षण एवं आवश्यकता होने पर नि:शुल्क चश्मा, ताकि कमजोर दृष्टि पढ़ाई में बाधा न बने।",Free Equipment,Free,School children found to need glasses,"Government schools, through RBSK and NPCB screening teams",School ID,104,2,Active
BEN025,NCD.2,,Free mental health consultation and medicines,नि:शुल्क मानसिक स्वास्थ्य परामर्श एवं दवा,"Free consultation, counselling and medicines for depression, anxiety, epilepsy, severe mental illness and substance use. Mental illness is treatable, and seeking help is not a weakness.","अवसाद, चिंता, मिर्गी, गंभीर मानसिक रोग एवं नशे की लत हेतु नि:शुल्क परामर्श एवं दवा। मानसिक रोग का इलाज संभव है — मदद मांगना कमजोरी नहीं है।",Free Service,Free,"Anyone experiencing mental distress, and their family","District Mental Health Programme clinic at Sadar Hospital, Sheikhpura",Aadhaar,14416,1,Active
BEN026,NCD.2,,"Tele-MANAS — free mental health helpline, 24 hours","टेली-मानस — नि:शुल्क मानसिक स्वास्थ्य हेल्पलाइन, 24 घंटे","Free and confidential mental health support by phone, at any hour, in Hindi and other languages. Dial 14416.","नि:शुल्क एवं गोपनीय मानसिक स्वास्थ्य सहायता, दिन-रात कभी भी, हिंदी में। 14416 डायल करें।",Awareness / Counselling,Free,Anyone,Call 14416 from any phone,None,14416,2,Active
BEN027,NCD.3,,"Free geriatric OPD, physiotherapy and mobility aids","वृद्धजनों हेतु नि:शुल्क ओपीडी, फिजियोथेरेपी एवं सहायक उपकरण","A dedicated free OPD for the elderly, free physiotherapy, and free aids such as walking sticks, walkers and hearing aids where needed.","वृद्धजनों हेतु अलग नि:शुल्क ओपीडी, नि:शुल्क फिजियोथेरेपी एवं आवश्यकतानुसार छड़ी, वॉकर तथा श्रवण यंत्र।",Free Service,Free,Persons aged 60 years and above,"Geriatric OPD at Sadar Hospital, Sheikhpura",Aadhaar showing age,104,1,Active
BEN028,NCD.4,,"Free help to quit tobacco, gutkha and khaini","तंबाकू, गुटखा एवं खैनी छोड़ने हेतु नि:शुल्क सहायता","Free counselling and nicotine replacement therapy to help you quit, plus free oral cancer screening for tobacco users. Quitting at any age adds years to life.","तंबाकू छोड़ने हेतु नि:शुल्क परामर्श एवं दवा, तथा तंबाकू सेवन करने वालों की मुख कैंसर की नि:शुल्क जांच।",Free Service,Free,Any tobacco user who wants to quit,"Tobacco Cessation Centre at Sadar Hospital, Sheikhpura",None,1800-11-2356,1,Active
BEN029,NCD.5,,"Free screening for blood pressure, diabetes and common cancers","रक्तचाप, मधुमेह एवं आम कैंसर की नि:शुल्क जांच","Free population-based screening for hypertension, diabetes and oral, breast and cervical cancer for everyone aged 30 and above — done by your ASHA at your doorstep and at the Ayushman Arogya Mandir.","30 वर्ष से ऊपर सभी व्यक्तियों की उच्च रक्तचाप, मधुमेह तथा मुख, स्तन एवं गर्भाशय ग्रीवा कैंसर की नि:शुल्क जांच — आशा दीदी द्वारा घर पर एवं आयुष्मान आरोग्य मंदिर पर।",Free Test,Free,Everyone aged 30 years and above,Nearest Ayushman Arogya Mandir (Health Sub-Centre) or APHC; your ASHA also screens during home visits,Aadhaar or ABHA number,104,1,Active
BEN030,NCD.5,,Free monthly medicines for blood pressure and diabetes,रक्तचाप एवं मधुमेह की नि:शुल्क मासिक दवा,"Free monthly supply of medicines for hypertension and diabetes, collected close to home from the Ayushman Arogya Mandir instead of travelling to the district hospital every month.","उच्च रक्तचाप एवं मधुमेह की मासिक दवा नि:शुल्क, अपने नजदीकी आयुष्मान आरोग्य मंदिर से — हर महीने जिला अस्पताल जाने की आवश्यकता नहीं।",Free Medicine,Free,Patients diagnosed with hypertension or diabetes,Nearest Ayushman Arogya Mandir (Health Sub-Centre) or APHC,NCD card or ABHA number,104,2,Active
BEN031,NCD.6,,Pradhan Mantri National Dialysis Programme — free dialysis,प्रधानमंत्री राष्ट्रीय डायलिसिस कार्यक्रम — नि:शुल्क डायलिसिस,"Free haemodialysis sessions for kidney failure patients, including all consumables. Private dialysis costs roughly Rs 2,000 per session, needed two or three times a week, indefinitely.","गुर्दा रोगियों हेतु नि:शुल्क डायलिसिस, सभी सामग्री सहित। निजी अस्पताल में प्रति सत्र लगभग 2,000 रुपये लगते हैं, जो सप्ताह में दो-तीन बार आवश्यक होता है।",Free Service,Free,Patients with chronic kidney disease requiring dialysis,"Dialysis unit at Sadar Hospital, Sheikhpura","Aadhaar, nephrologist's prescription",104,1,Active
BEN032,NCD.11,,Free hearing screening and hearing aids,नि:शुल्क श्रवण जांच एवं श्रवण यंत्र,"Free newborn hearing screening, free ear check-ups and free hearing aids for those with hearing loss. Detecting deafness early in a newborn prevents lifelong speech disability.","नवजात शिशुओं की नि:शुल्क श्रवण जांच, कान की जांच एवं आवश्यकता होने पर नि:शुल्क श्रवण यंत्र। समय पर पहचान से बच्चे की वाणी बचाई जा सकती है।",Free Equipment,Free,"Newborns, children and adults with hearing difficulty","ENT department, Sadar Hospital, Sheikhpura",Aadhaar,104,1,Active
BEN033,HSS.1,,Ayushman Arogya Mandir — 12 free health services near your home,आयुष्मान आरोग्य मंदिर — घर के पास 12 नि:शुल्क स्वास्थ्य सेवाएं,"Your nearest Health Sub-Centre now provides twelve service packages free — pregnancy care, newborn and child care, immunisation, family planning, treatment of common illnesses, NCD screening, mental health, ENT, eye care, oral health, elderly care and emergency first aid.","आपका नजदीकी उप-स्वास्थ्य केंद्र अब 12 प्रकार की सेवाएं नि:शुल्क देता है — गर्भावस्था देखभाल, नवजात एवं बाल देखभाल, टीकाकरण, परिवार नियोजन, सामान्य बीमारियों का इलाज, एनसीडी जांच, मानसिक स्वास्थ्य, नाक-कान-गला, नेत्र, दंत, वृद्धजन देखभाल एवं प्राथमिक उपचार।",Free Service,Free,Everyone — there is no eligibility condition,Nearest Ayushman Arogya Mandir (Health Sub-Centre) or APHC — there is one in or near every panchayat,ABHA number or Aadhaar is helpful,104,1,Active
BEN034,HSS.1,,Free video consultation with a doctor (e-Sanjeevani),चिकित्सक से नि:शुल्क वीडियो परामर्श (ई-संजीवनी),"Consult a qualified doctor or specialist by video from your local Ayushman Arogya Mandir, without travelling to the district hospital. The Community Health Officer sets up the call for you.",अपने नजदीकी आयुष्मान आरोग्य मंदिर से वीडियो द्वारा विशेषज्ञ चिकित्सक से नि:शुल्क परामर्श — जिला अस्पताल जाने की आवश्यकता नहीं। सीएचओ आपकी कॉल जोड़ देंगे।,Free Service,Free,Everyone,Nearest Ayushman Arogya Mandir (Health Sub-Centre) or APHC — ask the Community Health Officer,ABHA number,104,2,Active
BEN035,HSS.2,,Free blood from the government blood bank,सरकारी ब्लड बैंक से नि:शुल्क रक्त,Blood is provided free to patients admitted in government facilities. Thalassaemia and sickle cell patients receive free lifelong transfusion support.,सरकारी अस्पतालों में भर्ती मरीजों को नि:शुल्क रक्त। थैलेसीमिया एवं सिकल सेल रोगियों को आजीवन नि:शुल्क रक्त उपलब्ध।,Free Service,Free,Patients admitted in government facilities; thalassaemia and sickle cell patients,"Blood bank, Sadar Hospital, Sheikhpura","Hospital admission slip, Aadhaar",104,1,Active
BEN036,HSS.3,,Your ASHA — free health support in your own village,आपकी आशा दीदी — आपके गांव में नि:शुल्क स्वास्थ्य सहायता,"Your ASHA accompanies pregnant women to hospital, brings medicines, tests for malaria, checks on newborns, mobilises children for immunisation, and helps you reach the right service. All of it is free.","आशा दीदी गर्भवती महिला को अस्पताल ले जाती हैं, दवा पहुंचाती हैं, मलेरिया की जांच करती हैं, नवजात की देखभाल करती हैं एवं सही सेवा तक पहुंचाती हैं — सब नि:शुल्क।",Free Service,Free,Every household in the village,In your own village — every village has an ASHA,None,104,1,Active
BEN037,HSS.5,,Free 102 and 108 ambulance service,नि:शुल्क 102 एवं 108 एम्बुलेंस सेवा,"Dial 102 for pregnant women and newborns, and 108 for any medical emergency or accident. The ambulance is free, comes to where you are, and drops you home after discharge.","गर्भवती महिला एवं नवजात हेतु 102, तथा किसी भी आपात स्थिति या दुर्घटना हेतु 108 डायल करें। सेवा पूर्णत: नि:शुल्क है, एम्बुलेंस आपके पास आती है एवं छुट्टी के बाद घर छोड़ती है।",Free Transport,Free,Anyone facing a medical emergency,"Call 102 or 108 from any phone, at any time",None,102 / 108,1,Active
BEN038,HSS.7,,Free Drug Service — essential medicines at no cost,नि:शुल्क दवा सेवा — आवश्यक दवाइयां मुफ्त,"Essential medicines are free at every government health facility. If a medicine on the essential list is not given to you, you are entitled to ask for it — you should not be sent to buy it outside.",सभी सरकारी अस्पतालों में आवश्यक दवाइयां नि:शुल्क। यदि सूची की दवा न दी जाए तो मांगना आपका अधिकार है — बाहर से खरीदने के लिए कहा जाए तो शिकायत करें।,Free Medicine,Free,Every patient at a government facility,"Any government health facility in Sheikhpura — Sadar Hospital, CHC, PHC, APHC or Ayushman Arogya Mandir",None,104,1,Active
BEN039,HSS.7,,Free Diagnostic Service — essential tests at no cost,नि:शुल्क जांच सेवा — आवश्यक जांच मुफ्त,"Essential laboratory tests and radiology are free at government facilities — blood tests, urine tests, X-ray, ECG and ultrasound where available.","सरकारी अस्पतालों में आवश्यक जांच नि:शुल्क — रक्त, मूत्र, एक्स-रे, ईसीजी तथा उपलब्धता अनुसार अल्ट्रासाउंड।",Free Test,Free,Every patient at a government facility,"Any government health facility in Sheikhpura — Sadar Hospital, CHC, PHC, APHC or Ayushman Arogya Mandir",Doctor's prescription slip,104,2,Active
BEN040,HSS.20,,Complain if a free service is denied or you are charged,नि:शुल्क सेवा न मिलने या पैसा मांगे जाने पर शिकायत करें,"If you are charged for something that should be free, refused treatment, or treated badly at a government facility, you have the right to complain. Call 104 or use the grievance desk.","यदि नि:शुल्क सेवा के लिए पैसा मांगा जाए, इलाज से मना किया जाए या दुर्व्यवहार हो, तो शिकायत करना आपका अधिकार है। 104 पर कॉल करें।",Free Service,Free,Any citizen,"Call 104, or the grievance desk at Sadar Hospital, Sheikhpura","Name of the facility, date, and what happened",104,1,Active
